a52dec 0.8.0-2
glu 9.0.3-1
glusterfs 1:11.1-1
gmp 6.3.0-1
gnome-terminal 3.50.1-1
gnugo 3.8-7
gnupg 2.4.4-1
gnutls 3.8.3-1
go 2:1.22.0-1
gobject-introspection-runtime 1.78.1-1
google-chrome 122.0.6261.69-1
gperftools 2.15-1
gpgme 1.23.2-1
gpm 1.20.7.r38.ge82d1a6-5
granatier 23.08.5-1
grantlee 5.3.1-1
grantlee-editor 23.08.5-1
grantleetheme 23.08.5-1
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
groff 1.23.0-5
gsettings-desktop-schemas 45.0-1
gsl 2.7.1-3
gsm 1.0.22-1
gssdp 1.6.3-1
gssproxy 0.9.2-1
gst-plugins-bad 1.22.10-1
gst-plugins-bad-libs 1.22.10-1
gst-plugins-base 1.22.10-1
gst-plugins-base-libs 1.22.10-1
gst-plugins-good 1.22.10-1
gstreamer 1.22.10-1
gtk-update-icon-cache 1:4.12.5-1
gtk-vnc 1.3.1-1
gtk3 1:3.24.41-1
gtk4 1:4.12.5-1
gtksourceview4 4.8.4-1
guile 3.0.9-1
gumbo-parser 0.12.1-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs 1.52.2-2
gvfs-smb 1.52.2-2
gwenview 23.08.5-1
gzip 1.13-2
harfbuzz 8.3.0-2
hdf5 1.14.3-1
hdparm 9.65-1
help2man 1.49.3-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.1.0-1
hplip 1:3.23.12-2
http-parser 2.9.4-1
httpdirfs 1.2.5-2
httpdirfs-debug 1.2.5-2
hunspell 1.7.2-1
hwdata 0.379-1
hwloc 2.10.0-1
i2c-tools 4.3-4
iana-etc 20231228-1
icu 74.2-1
icu71 71.1-1
id3lib 3.8.3-18
ijs 0.35-6
imagemagick 7.1.1.28-1
imath 3.1.10-1
imlib2 1.12.2-1
incidenceeditor 23.08.5-1
inetutils 2.5-1
iniparser 4.1-4
intel-ucode 20231114-2
iproute2 6.7.0-1
ipset 7.20-1
iptables 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
iterm2-shell-integration 3.4.19-1
itinerary 23.08.5-1
iw 6.7-1
jansson 2.14-2
jasper 4.2.1-1
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.20-1
jbigkit 2.1-7
jdk-openjdk 21.0.2.u13-3
jemalloc 1:5.3.0-3
json-c 0.17-1
json-glib 1.8.0-1
juk 23.08.5-1
k3b 1:23.08.5-1
kaccounts-integration 23.08.5-1
kaccounts-providers 23.08.5-1
kactivities-stats5 5.115.0-1
kactivities5 5.115.0-1
kactivitymanagerd 5.27.10-1
kaddressbook 23.08.5-1
kajongg 23.08.5-1
kalarm 23.08.5-1
kalgebra 23.08.5-1
kalk 23.08.5-1
kalzium 23.08.5-1
kamera 23.08.5-1
kamoso 23.08.5-1
kanagram 23.08.5-1
kapman 23.08.5-1
kapptemplate 23.08.5-1
karchive5 5.115.0-1
kasts 23.08.5-1
kate 23.08.5-1
katomic 23.08.5-1
kauth5 5.115.0-1
kbackup 23.08.5-1
kbd 2.6.4-1
kblackbox 23.08.5-1
kblocks 23.08.5-1
kbookmarks5 5.115.0-1
kbounce 23.08.5-1
kbreakout 23.08.5-1
kbruch 23.08.5-1
kcachegrind 23.08.5-1
kcachegrind-common 23.08.5-1
kcalc 23.08.5-1
kcalendarcore5 5.115.0-1
kcalutils 23.08.5-1
kcharselect 23.08.5-1
kclock 23.08.5-1
kcmutils5 5.115.0-1
kcodecs5 5.115.0-1
kcolorchooser 23.08.5-1
kcolorpicker-qt5 0.3.0-3
kcompletion5 5.115.0-1
kconfig5 5.115.0-1
kconfigwidgets5 5.115.0-1
